company,subject,issue,expected_response,generated_response,strategy_used,expected_request_type,predicted_request_type,request_type_accuracy,expected_product_area,predicted_product_area,product_area_accuracy,expected_status,predicted_status,status_accuracy,retrieval_required,normalized_issue,normalized_subject,routing_reason,routing_confidence,latency,num_chunks,ragas_context_precision,ragas_context_recall,ragas_faithfulness,ragas_answer_correctness,ragas_answer_relevancy,billing_total_cost,billing_decision_cost,billing_embedding_cost,billing_retriever_cost,billing_generation_cost,billing_decision_input_tokens,billing_decision_output_tokens,billing_generation_input_tokens,billing_generation_output_tokens,billing_total_tokens
HackerRank,Test Active in the system,I notice that people I assigned the test in October of 2025 have not received new tests. How long do the tests stay active in the system.,"Hi,


Tests in HackerRank remain active indefinitely unless a start and end time are set. 
Without these, tests do not expire automatically.



To set expiration times, specify a start and end date/time in the test settings. After expiration:

Invited candidates cannot access the test.
The ""Invite"" button is disabled; no new invitations can be sent.


To check or change expiration settings:

Go to the test's Settings and select the General section.
Update the Start date & time and End date & time fields as needed.
To keep the test active indefinitely, clear these fields by clicking the clear icon (X).


If the test has an expiration set, adjust these settings to enable new invitations.","By default, test invitations remain active indefinitely unless an expiry date is set. You can define how long a test invitation remains active by setting a custom expiry date and time. After the expiry time, the test invitation expires, and candidates can no longer take the test. The Invite button will be disabled, and you cannot invite new candidates. To set an expiration date, click the Expiry dropdown and select an option. If you choose Custom, select the expiry date, time, and time zone, then click Save.

For more information, please refer to this support article: https://support.hackerrank.com/articles/6027855406-inviting-candidates-to-a-test",google_gemini-2.5-flash-lite_hybrid_llm_10,product_issue,product_issue,1,screen,screen,1,Replied,Replied,1,True,How long do tests remain active in the system for users assigned in October 2025?,Test active duration in the system,"The user is asking a question about the duration tests remain active in the HackerRank system, which requires documentation retrieval.",0.95,35.95582230002037,10,0.9999999999666667,0.7777777777777778,1.0,0.7087719409442115,0.7595306955722209,0.0005799000000000001,0.0,0.0,2e-05,0.0005599,0,0,4663,234,4897
None,,site is down & none of the pages are accessible,Escalate to a human,Escalate to a human,google_gemini-2.5-flash-lite_hybrid_llm_10,bug,bug,1,,,1,Escalated,Escalated,1,False,site is down & none of the pages are accessible,,Unsupported company: None.,1.0,2.3850273999851197,0,,,,,,0.000282,0.0,0.0,0.0,0.000282,0,0,2540,70,2610
HackerRank,"When should I create a variant versus
 have a different test?","I'm noticing that you all have many default versions of roles. (e.g. front end developer for react, angular, vue.js, etc.) What do you consider best practice 
for when to create a new test versus create a variant of the test? What are the advantages and disadvantages of using variants?","Hi,


Consider these guidelines when choosing between creating a new test or a variant:



When to Use Test Variants:

Create variants to adapt a single test to different candidate profiles, 
such as roles with different tech stacks (React, Angular, Vue.js).
Variants streamline assessments by showing candidates only relevant sections and generating role-specific reports.


Advantages of Test Variants:

Reduces the need to manage multiple tests, improving efficiency.
Decreases maintenance while allowing scalable personalization.
Ensures candidates are tested on relevant content.


Disadvantages and Limitations of Test Variants:

A test must have at least two variants to function; you cannot delete a variant if only two exist.
Variants without logic are hidden from candidates until logic is added.","Test variants allow you to create a single assessment that adapts to different candidate profiles. You can design multiple variants within the same assessment to personalize the evaluation based on roles, skills, or other criteria. This approach eliminates the need to manage separate tests, improves efficiency, and ensures candidates are assessed on the most relevant content.

Advantages of Test Variants:
*   Personalize the evaluation based on roles, skills, or other criteria.
*   Eliminate the need to manage separate tests.
*   Improve efficiency.
*   Ensure candidates are assessed on the most relevant content.
*   Deliver the correct test variant based on the candidate's input at login.
*   Candidates see only the sections relevant to them.
*   Reports reflect only the variant they attempted, keeping insights clean, role-specific, and easy to evaluate.
*   Reduces maintenance overhead while giving flexibility to personalize assessments at scale.

Disadvantages and Limitations of Test Variants:
*   Variants without logic will not be visible to any candidate until you add logic.

For more information, see https://support.hackerrank.com/articles/7530103378-test-variants",google_gemini-2.5-flash-lite_hybrid_llm_10,product_issue,product_issue,1,screen,screen,1,Replied,Replied,1,True,"Customer is asking for best practices on when to create a new test versus create a variant of the test, and the advantages and disadvantages of using variants. They noticed many default versions of roles on HackerRank.",When to create a variant versus a different test,"Customer is asking for best practices on creating new tests versus variants in HackerRank, and the advantages/disadvantages of using variants. This requires product-specific documentation.",0.95,32.09961840001051,4,0.99999999995,0.75,0.9333333333333333,0.8625014488250562,0.7907927480243735,0.000386,0.0,0.0,2e-05,0.000366,0,0,3192,117,3309
HackerRank,"How to reinvite candidate to Hackerrank 
assessment and add extra time","Hi there

We have sent a candidate a Hackerrank assessment already, but we have been informed that they require extra time. As the assessment is 105 minutes, they need an extra 50% extra time added (so around 53 minutes) in addition.

Please can you provide step-by-step instruction on how we are to reinvite them.

Do we find their profile in 'Candidates' , put in Add time 53 minutes and then click 'reinvite' and send the email? The email to the candidate says 105 minutes as the duration though still so not sure how we can check?

Thanks","Log in to your HackerRank for Work account using your credentials.
Go to the Tests tab. 
Select the test you want to modify.
Go to the Candidates tab.
Select the checkbox next to the candidate(s) you want to accommodate time.
Click More > Add Time Accommodation. 
Enter the accommodation percentage in multiples of five.
Click Save. A success message appears.

Time accommodation can also be added before the invite has been sent. Please refer to this support article for the detailed steps : https://support.hackerrank.com/articles/4811403281-adding-extra-time-for-candidates","To add extra time to a HackerRank assessment for a candidate, follow these steps:

1. Log in to your HackerRank for Work account.
2. Navigate to the **Tests** tab and select the relevant test.
3. Go to the **Candidates** tab.
4. Select the checkbox next to the candidate you wish to accommodate.
5. Click **More > Add Time Accommodation**.
6. Enter the accommodation percentage in multiples of five. For your candidate's request, you would enter 50%.
7. Click **Save**. A success message will appear.

After applying time accommodation, the updated duration will be reflected in the test invite email and on the test landing page before the candidate starts the test.

To reinvite a candidate to a test:

1. Log in to your HackerRank for Work account.
2. Go to the **Tests** tab and open the test.
3. Go to the **Candidates** tab.
4. Select the checkbox next to the candidate you want to reinvite.
5. Click **Invite selected**.
6. In the **Send Test Invites** section, click **Send invite**.
7. A confirmation message will appear indicating that the candidate has already attempted the test.
8. Click **Re-invite** to send the test invitation again.
9. Click **Send invite** to complete the reinvitation process.

When you reinvite a candidate, their previous report is automatically deleted. To recover a deleted report, contact support@hackerrank.com.

https://support.hackerrank.com/articles/4811403281-adding-extra-time-for-candidates
https://support.hackerrank.com/articles/1002936098-reinviting-candidates-to-a-test",google_gemini-2.5-flash-lite_hybrid_llm_10,product_issue,product_issue,1,screen,screen,1,Replied,Replied,1,True,"Customer needs step-by-step instructions on how to reinvite a candidate to a HackerRank assessment and add extra time (50% more, approximately 53 minutes). They are unsure if the process involves finding the candidate, adding time, reinviting, and how to verify the updated duration shown in the email.",How to reinvite candidate to HackerRank assessment and add extra time,Customer is asking for a how-to guide on modifying assessment time and reinviting a candidate on HackerRank.,0.95,46.88919149999856,6,0.9999999999,0.9,1.0,0.6380713539633147,0.8109753323520114,0.0006332000000000001,0.0,0.0,2e-05,0.0006132,0,0,4136,499,4635
HackerRank,,"i signed up using google login on hackerrank community , so i do not have a separate hackerrank password. please delete my account","To delete your HackerRank account created via Google login, first set a password for your account, as Google login accounts do not have one by default.

Follow these steps to set a password and delete your account:

Go to the HackerRank login page and click ""Forgot your password?""
Enter the email linked to your Google login and follow the instructions to reset and set a new password.
Log in to your HackerRank account using the new password.
Click your profile icon in the top-right corner and select Settings.
Scroll to the Delete Accounts section.
Click Delete Account and follow the prompts, entering your new password to confirm.

Deleting your account will permanently remove all data and cannot be undone.","To delete your HackerRank Community account that was created using Google login, you must first set a separate HackerRank password. You can do this by following the steps to reset your password. Go to the HackerRank Community login page, click ""Forgot Password?"", enter your email address, and follow the instructions in the reset email to create a new password. Once a password is set, you can proceed with deleting your account by logging in, navigating to Settings, scrolling to the ""Delete Accounts"" section, clicking ""Delete Account"", selecting a reason, and confirming with your account password.

If you cannot access your Google account, please contact HackerRank support at help@hackerrank.com for assistance.

https://help.hackerrank.com/articles/5618101592-delete-an-account
https://help.hackerrank.com/articles/2403570133-update-or-reset-password",google_gemini-2.5-flash-lite_hybrid_llm_10,product_issue,product_issue,1,community,community,1,Replied,Replied,1,True,"request to delete HackerRank account created via Google login, as no separate password exists",account deletion request,"User is requesting account deletion for HackerRank, which requires specific procedures or documentation.",0.9,30.601787699997658,10,0.7321428571245535,1.0,1.0,0.7705089000552237,0.8605252664912642,0.0006330000000000001,0.0,0.0,2e-05,0.000613,0,0,5026,276,5302
Claude,,"One of my claude conversations has some private info, i forgot to make a temporary chat, is there anything
 else that can be done? like delete etc?","To delete an individual conversation:

1. Navigate to the conversation you want to delete.

2. Click on the name of the conversation at the top of the screen.

3. Select either ""Delete"" from the options that appear:



https://privacy.claude.com/en/articles/11117329-how-can-i-delete-or-rename-a-conversation","You can delete individual conversations by navigating to the conversation, clicking its name at the top of the screen, and selecting 'Delete'. You can also delete multiple conversations at once by going to your chat history, hovering over the conversations you wish to delete, checking the selection box, and then clicking 'Delete Selected'.

For future reference, incognito chats are available and can be enabled by clicking the ghost icon in the upper right corner of the screen when starting a new chat. Incognito chats are not saved to your chat history and are not used to improve Claude. However, if you are using an Enterprise or Team plan, incognito chats are included in standard data exports and follow your organization's data retention policies.",google_gemini-2.5-flash-lite_hybrid_llm_10,product_issue,product_issue,1,privacy,claude,0,Replied,Replied,1,True,customer wants to know how to delete private information from a claude conversation because they forgot to make a temporary chat.,claude conversation privacy,Customer is asking how to delete private information from a Claude conversation.,0.95,32.97958539999672,9,0.8041666666465626,1.0,0.9230769230769231,0.4725396299299639,0.0,0.0006305000000000001,0.0,0.0,2e-05,0.0006105,0,0,4993,278,5271
None,"Urgent, please help",What is the name of the actor in Iron Man?,"I am sorry, this is out of scope from my capabilities","I am sorry, this is out of scope from my capabilities",google_gemini-2.5-flash-lite_hybrid_llm_10,invalid,invalid,1,conversation_management,conversation_management,1,Replied,Replied,1,False,What is the name of the actor in Iron Man?,"Urgent, please help",Unsupported company: None.,1.0,2.7268998000072315,0,,,,,,0.0002876,0.0,0.0,0.0,0.0002876,0,0,2544,83,2627
Visa,,I bought Visa Traveller's Cheques from Citicorp and they were stolen in Lisbon last night. What do I do?,"Call the issuer (Citicorp) immediately. 
Freephone 1-800-645-6556 or collect 1-813-623-1709, Mon–Fri 6:30 am–2:30 pm EST. 

Automated cheque verification is available 24/7 in English/Spanish; outside Citicorp's hours your call is recorded and returned the next business day.

Have this info ready before you call, it's what the issuer will ask: cheque serial numbers, where and when you bought the cheques, how/when they were lost or stolen, and the issuer name (Citicorp). 

Refunds can typically be arranged within 24 hours, subject to T&Cs.
Notify the local police in Lisbon (Visa's safety guidance for lost/stolen cheques).
If you can't reach Citicorp, use Visa's traveller's-cheque contact form on visa.co.in.","If your Visa Traveller's Cheques have been stolen, please notify the police. To arrange a refund, you will need to provide the issuer with the cheque serial numbers, where and when you bought the cheques, how and when you believe they were lost or stolen, and who the issuer of the traveller's cheques is. The refund can usually be arranged within 24 hours, subject to certain terms and conditions being satisfied.

For assistance with your Citicorp Visa Traveller's Cheques, you can contact Citicorp directly:
- Freephone: 1-800-645-6556
- Collect: 1-813-623-1709
- Monday-Friday, 6:30 am to 2:30 pm EST
Automated cheque verification is available 24 hours a day, 7 days a week. If you need to speak to a customer service representative outside of these hours, your call will be recorded and responded to the next business day.

Please refer to these support articles for more details: https://www.visa.co.in/support/consumer/travelers-cheques.html, https://www.visa.co.in/support/small-business/travelers-cheques.html",google_gemini-2.5-flash-lite_hybrid_llm_10,product_issue,product_issue,1,travel_support,travel_support,1,Replied,Replied,1,True,What do I do after my Visa Traveller's Cheques were stolen?,Stolen Visa Traveller's Cheques,Customer is asking for a procedure to follow after their Visa Traveller's Cheques were stolen.,0.95,24.19193269999232,6,0.999999999975,0.8571428571428571,0.875,0.8713579471845522,0.0,0.0006200000000000001,0.0,0.0,2e-05,0.0006000000000000001,0,0,4648,338,4986
Visa,Card stolen,Where can I report a lost or stolen Visa card from India?,"Call Visa India at 000-800-100-1219 to report a lost card. 

From anywhere else in the world, Visa's Global Customer Assistance Service is reachable 24/7 at +1 303 967 1090 and can block your card within ~30 minutes of being reported, plus arrange emergency cash and a replacement card","To report a lost or stolen Visa card from India, please call Visa at 000-800-100-1219. You can also find additional travel support and contact information on the Visa website.

https://www.visa.co.in/support.html",google_gemini-2.5-flash-lite_hybrid_llm_10,product_issue,product_issue,1,general_support,general_support,1,Replied,Replied,1,True,Where can I report a lost or stolen Visa card from India?,Card stolen,Customer is asking for a procedure related to a Visa product.,0.95,24.368198199983453,6,0.0,0.5,0.6666666666666666,0.40444287597214656,0.8802543440107334,0.0004578,0.0,0.0,2e-05,0.0004378,0,0,3590,197,3787
None,,Thank you for helping me,Happy to help,Happy to help,google_gemini-2.5-flash-lite_hybrid_llm_10,invalid,invalid,1,,,1,Replied,Replied,1,False,Thank you for helping me,,Unsupported company: None.,1.0,2.7656850999919698,0,,,,,,0.0002835,0.0,0.0,0.0,0.0002835,0,0,2535,75,2610
